date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:14	1160/1160	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/coin.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/coin.controller.js	(from http://barlows.co.nz/)
23:45:14	1724/1724	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/add-address.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/add-address.controller.js	(from http://barlows.co.nz/)
23:45:14	2034/2034	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/account.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/account.controller.js	(from http://barlows.co.nz/)
23:45:14	897/897	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/coin-activity.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/coin-activity.controller.js	(from http://barlows.co.nz/)
23:45:15	2257/2257	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/find-password.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/find-password.controller.js	(from http://barlows.co.nz/)
23:45:15	2369/2369	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/contact.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/contact.controller.js	(from http://barlows.co.nz/)
23:45:16	2170/2170	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/edit-address.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/edit-address.controller.js	(from http://barlows.co.nz/)
23:45:16	7922/7922	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/bege-controllers/bege-checkout.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/bege-controllers/bege-checkout.controller.js	(from http://barlows.co.nz/)
23:45:16	1711/1711	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/controllers/website-news.controller.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/controllers/website-news.controller.js	(from http://barlows.co.nz/)
23:45:18	7279/7279	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/account.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/account.service.js	(from http://barlows.co.nz/)
23:45:18	4261/4261	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/home.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/home.service.js	(from http://barlows.co.nz/)
23:45:19	11629/11629	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/auth.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/auth.service.js	(from http://barlows.co.nz/)
23:45:19	5121/5121	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/order.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/order.service.js	(from http://barlows.co.nz/)
